clave_id_norm,nombre_id
120,10
7578,12
7578,6
7578,15
120,1
7578,3
7578,9
120,4
120,8
1398,14
120,2
7578,5
2359,1
2359,11
6609,14
2065,6
2359,7
2359,2
2359,4
2359,10
2065,15
2065,13
2065,16
2359,8
2065,12
2065,9
2065,5
2065,3
9728,12
6224,2
9728,16
6224,10
9728,13
6224,11
6224,14
6224,1
9728,15
9728,3
6224,8
9728,4
6224,9
9728,5
6224,7
6224,6
8923,13
8405,9
8405,7
8405,1
8923,4
8405,8
8923,3
8405,10
8405,6
8923,16
8923,12
8405,14
8405,2
8923,15
8923,5
8405,11
2322,15
2322,6
2322,14
4955,9
2322,12
709,4
2322,5
2322,2
709,16
2322,1
4955,11
2322,7
2322,13
2322,8
2322,10
2322,3
9133,10
9133,13
7713,4
9133,16
9133,5
1099,9
9133,8
9133,15
1099,1
9133,11
1099,6
9133,7
1099,2
1099,3
9133,12
6350,7
6350,13
5563,1
6350,11
5563,3
6350,8
5563,2
6350,12
6350,5
6350,10
6350,15
6350,16
5563,6
8881,4
5563,9
68,3
68,10
68,6
68,9
68,14
6737,1
4533,8
68,13
68,5
6737,16
68,15
6737,2
68,11
6737,4
68,12
4533,7
411,11
411,14
1191,1
1191,4
4564,7
411,6
411,15
1191,16
411,10
1191,2
411,3
4564,8
411,13
411,5
411,9
411,12
7899,15
7899,7
8196,2
8196,4
8196,3
8196,16
8196,8
8196,5
7899,14
8196,1
8196,10
8196,12
7899,11
7899,6
7899,9
8196,13
6716,9
3530,13
3530,12
6716,6
6716,15
6716,11
3530,3
6716,14
6716,7
3530,10
3530,5
3530,8
3530,2
3530,1
3530,16
3530,4
7455,16
7401,12
7401,13
7401,3
7455,1
7401,6
7455,2
7455,5
7455,14
7401,9
7455,8
7401,7
8330,15
7455,4
7455,10
7401,11
3672,11
3489,2
3489,10
3672,6
3489,14
3672,13
3489,1
3489,5
3672,12
3672,9
3489,8
3672,7
3672,3
3489,16
6591,15
3489,4
5984,11
5984,2
5984,3
5984,5
5984,4
5984,1
5984,14
5984,10
9178,1
9178,2
9178,10
9178,7
9178,13
9178,15
9178,9
9178,6
9178,16
9178,12
9178,4
9178,5
9178,14
9178,8
9178,11
9178,3
8489,12
8489,14
8489,15
8489,2
8489,11
3391,16
8489,10
3391,8
3391,9
8489,4
8489,1
3391,6
4616,7
3349,3
8489,13
3349,5
641,13
641,2
132,16
132,6
7074,3
7074,5
641,11
641,12
641,15
641,1
641,10
641,4
132,8
132,9
641,14
4612,7
6686,11
701,6
6686,1
701,15
701,16
701,9
6686,13
701,12
6686,14
6129,7
6686,2
516,5
701,8
516,3
6686,10
6686,4
7452,14
7452,1
7452,4
4937,5
7452,13
7452,10
7612,6
7452,11
7612,9
7612,12
7612,8
7612,16
8289,7
4937,3
7452,2
7612,15
2584,2
2584,7
2279,15
2584,4
2584,10
2058,5
2584,6
2584,9
2279,13
2279,8
2584,11
2058,3
2584,1
2279,12
2279,16
2584,14
2369,9
2369,2
2369,6
2369,10
2369,14
4125,15
2369,1
2369,4
2369,7
2369,11
4125,16
4125,12
4125,8
1226,3
1226,5
4125,13
5021,3
5021,16
5053,2
5021,8
5021,13
4773,6
1227,14
4773,11
1227,9
5021,5
4773,10
5053,4
5021,15
4773,12
5053,1
4773,7
1215,4
5642,1
5642,14
5642,5
5642,8
5642,10
1215,3
1215,2
2675,6
1215,12
5642,16
1215,15
5642,9
1215,13
1215,11
